in,fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,quality,style,titratable_acidity_ratio,acidity_index,sulfur_dioxide_ratio,chlorides_density_ratio,alcohol_ph_index,sulphates_alcohol_ratio,pH_category,quality_category
3175,6.2,0.27,0.49,1.4,0.05,20.0,74.0,0.9931,3.32,0.44,9.8,6,white,22.962962962962962,6.960000000000001,0.2702702702702703,0.050347397039573055,32.536,0.044897959183673466,medium,average
3176,7.1,0.64,0.49,1.8,0.05,17.0,128.0,0.9946,3.31,0.58,10.6,4,white,11.09375,8.229999999999999,0.1328125,0.05027146591594611,35.086,0.054716981132075466,medium,poor
3177,6.4,0.18,0.74,11.9,0.046,54.0,168.0,0.9978,3.58,0.68,10.1,5,white,35.55555555555556,7.32,0.32142857142857145,0.04610142313088795,36.158,0.06732673267326733,high,average
3178,7.6,0.31,0.49,13.4,0.062,50.0,191.0,0.9989,3.22,0.53,9.0,4,white,24.516129032258064,8.399999999999999,0.2617801047120419,0.062068275102612876,28.98,0.05888888888888889,medium,poor
3179,9.8,0.31,0.49,15.4,0.046,13.0,119.0,1.0004,3.18,0.45,9.5,5,white,31.612903225806456,10.600000000000001,0.1092436974789916,0.045981607357057176,30.21,0.04736842105263158,medium,average
3180,9.0,0.3,0.49,7.2,0.039,32.0,84.0,0.9938,2.94,0.32,11.5,6,white,30.0,9.790000000000001,0.38095238095238093,0.03924330851277923,33.81,0.02782608695652174,low,average
3181,8.4,0.24,0.49,7.4,0.039,46.0,108.0,0.9934,3.03,0.33,11.9,7,white,35.0,9.13,0.42592592592592593,0.039259110126837124,36.057,0.027731092436974792,medium,good
3183,6.4,0.25,0.74,7.8,0.045,52.0,209.0,0.9956,3.21,0.42,9.2,6,white,25.6,7.390000000000001,0.24880382775119617,0.045198875050220966,29.531999999999996,0.04565217391304348,medium,average
3184,7.3,0.3,0.74,13.5,0.039,46.0,165.0,0.9982,3.02,0.4,8.7,5,white,24.333333333333332,8.34,0.2787878787878788,0.03907032658785815,26.273999999999997,0.04597701149425288,medium,average
3185,9.3,0.31,0.49,1.3,0.042,34.0,147.0,0.9948,3.11,0.46,9.8,5,white,30.000000000000004,10.100000000000001,0.23129251700680273,0.04221954161640531,30.478,0.04693877551020408,medium,average
3188,7.0,0.27,0.74,1.5,0.036,27.0,122.0,0.9926,3.35,0.48,11.2,6,white,25.925925925925924,8.01,0.22131147540983606,0.036268386056820465,37.519999999999996,0.04285714285714286,medium,average
3189,7.9,0.14,0.74,1.2,0.028,30.0,165.0,0.991,3.08,0.82,12.3,6,white,56.42857142857142,8.780000000000001,0.18181818181818182,0.028254288597376387,37.884,0.06666666666666667,medium,average
3190,6.4,0.12,0.49,6.4,0.042,49.0,161.0,0.9945,3.34,0.44,10.4,6,white,53.333333333333336,7.010000000000001,0.30434782608695654,0.042232277526395176,34.736,0.0423076923076923,medium,average
3191,6.8,0.21,0.74,1.2,0.047,25.0,111.0,0.9916,3.13,0.41,10.7,6,white,32.38095238095238,7.75,0.22522522522522523,0.04739814441306978,33.491,0.038317757009345796,medium,average
3192,8.6,0.16,0.49,7.3,0.043,9.0,63.0,0.9953,3.13,0.59,10.5,6,white,53.75,9.25,0.14285714285714285,0.04320305435547071,32.865,0.056190476190476187,medium,average
3193,7.0,0.29,0.49,3.8,0.047,37.0,136.0,0.9938,2.95,0.4,9.4,6,white,24.13793103448276,7.78,0.27205882352941174,0.047293217951298046,27.730000000000004,0.0425531914893617,low,average
3194,6.4,0.27,0.49,7.3,0.046,53.0,206.0,0.9956,3.24,0.43,9.2,6,white,23.703703703703702,7.16,0.25728155339805825,0.046203294495781436,29.808,0.04673913043478261,medium,average
3195,6.6,0.55,0.01,2.7,0.034,56.0,122.0,0.9906,3.15,0.3,11.9,5,white,11.999999999999998,7.159999999999999,0.45901639344262296,0.0343226327478296,37.485,0.025210084033613443,medium,average
3197,6.3,0.24,0.74,1.4,0.172,24.0,108.0,0.9932,3.27,0.39,9.9,6,white,26.25,7.28,0.2222222222222222,0.17317760773258153,32.373000000000005,0.03939393939393939,medium,average
3198,6.7,0.33,0.49,1.6,0.167,20.0,94.0,0.9914,3.11,0.5,11.4,6,white,20.3030303030303,7.5200000000000005,0.2127659574468085,0.16844865846277993,35.454,0.043859649122807015,medium,average
3200,8.2,0.34,0.49,8.0,0.046,55.0,223.0,0.996,3.08,0.52,10.7,6,white,24.117647058823525,9.03,0.24663677130044842,0.04618473895582329,32.955999999999996,0.0485981308411215,medium,average
3201,5.6,0.39,0.24,4.7,0.034,27.0,77.0,0.9906,3.28,0.36,12.7,5,white,14.358974358974358,6.2299999999999995,0.35064935064935066,0.0343226327478296,41.65599999999999,0.028346456692913385,medium,average
3202,5.6,0.41,0.24,1.9,0.034,10.0,53.0,0.98815,3.32,0.5,13.5,7,white,13.658536585365853,6.25,0.18867924528301888,0.03440773161969337,44.82,0.037037037037037035,medium,good
3203,6.7,0.41,0.01,2.8,0.048,39.0,137.0,0.9942,3.24,0.35,9.5,5,white,16.34146341463415,7.12,0.2846715328467153,0.04828002414001207,30.78,0.03684210526315789,medium,average
3204,7.1,0.26,0.49,2.2,0.032,31.0,113.0,0.9903,3.37,0.42,12.9,9,white,27.307692307692307,7.85,0.2743362831858407,0.032313440371604565,43.473000000000006,0.03255813953488372,medium,good
3205,7.5,0.32,0.49,1.7,0.031,44.0,109.0,0.9906,3.07,0.46,12.5,6,white,23.4375,8.31,0.4036697247706422,0.03129416515243287,38.375,0.0368,medium,average
3206,5.8,0.19,0.49,4.9,0.04,44.0,118.0,0.9935,3.34,0.38,9.5,7,white,30.52631578947368,6.48,0.3728813559322034,0.04026170105686965,31.729999999999997,0.04,medium,good
3207,6.9,0.27,0.49,23.5,0.057,59.0,235.0,1.0024,2.98,0.47,8.6,5,white,25.555555555555554,7.66,0.251063829787234,0.0568635275339186,25.628,0.05465116279069767,low,average
3208,8.1,0.2,0.49,11.8,0.048,46.0,212.0,0.9968,3.09,0.46,10.0,7,white,40.49999999999999,8.79,0.2169811320754717,0.048154093097913325,30.9,0.046,medium,good
3210,8.2,0.26,0.49,5.2,0.04,19.0,100.0,0.9941,3.12,0.34,10.1,6,white,31.538461538461533,8.95,0.19,0.040237400663917115,31.512,0.033663366336633666,medium,average
3211,7.8,0.26,0.49,3.2,0.027,28.0,87.0,0.9919,3.03,0.32,11.3,7,white,30.0,8.55,0.3218390804597701,0.027220485936082266,34.239,0.02831858407079646,medium,good
3212,8.0,0.14,0.49,1.5,0.035,42.0,120.0,0.9928,3.26,0.4,10.6,7,white,57.14285714285714,8.63,0.35,0.03525382755842063,34.556,0.03773584905660378,medium,good
3213,8.0,0.29,0.49,11.7,0.035,40.0,131.0,0.9958,3.14,0.34,10.8,5,white,27.586206896551726,8.78,0.3053435114503817,0.035147620004016875,33.912000000000006,0.03148148148148148,medium,average
3214,7.5,0.19,0.49,1.6,0.047,42.0,140.0,0.9932,3.4,0.47,10.7,6,white,39.473684210526315,8.18,0.3,0.0473217881594845,36.379999999999995,0.04392523364485981,medium,average
3215,6.9,0.34,0.49,7.3,0.045,61.0,206.0,0.9957,3.09,0.4,9.0,6,white,20.294117647058822,7.73,0.2961165048543689,0.04519433564326604,27.81,0.044444444444444446,medium,average
3216,6.2,0.2,0.49,1.6,0.065,17.0,143.0,0.9937,3.22,0.52,9.2,6,white,31.0,6.890000000000001,0.11888111888111888,0.06541209620609842,29.624,0.05652173913043479,medium,average
3217,6.4,0.37,0.49,13.3,0.045,53.0,243.0,0.9982,3.14,0.48,8.5,6,white,17.2972972972973,7.260000000000001,0.21810699588477367,0.04508114606291325,26.69,0.05647058823529411,medium,average
3218,6.2,0.22,0.49,6.0,0.029,31.0,128.0,0.9928,3.41,0.36,11.3,8,white,28.181818181818183,6.91,0.2421875,0.02921031426269138,38.533,0.03185840707964602,medium,good
3220,8.9,0.32,0.49,1.6,0.05,17.0,131.0,0.9956,3.13,0.34,9.4,5,white,27.8125,9.71,0.1297709923664122,0.0502209722780233,29.422,0.03617021276595745,medium,average
3221,6.5,0.44,0.49,7.7,0.045,16.0,169.0,0.9957,3.11,0.37,8.7,6,white,14.772727272727273,7.430000000000001,0.09467455621301775,0.04519433564326604,27.056999999999995,0.042528735632183914,medium,average
3222,7.0,0.14,0.49,5.9,0.053,22.0,118.0,0.9954,3.36,0.36,9.4,6,white,49.99999999999999,7.63,0.1864406779661017,0.053244926662648184,31.584,0.03829787234042553,medium,average
3223,9.0,0.17,0.49,1.0,0.039,46.0,131.0,0.993,3.09,0.51,10.5,7,white,52.94117647058823,9.66,0.3511450381679389,0.03927492447129909,32.445,0.04857142857142857,medium,good
3224,6.4,0.26,0.49,6.4,0.037,37.0,161.0,0.9954,3.38,0.53,9.7,6,white,24.615384615384617,7.15,0.22981366459627328,0.03717098653807514,32.785999999999994,0.054639175257731966,medium,average
3225,9.0,0.22,0.49,10.4,0.048,52.0,195.0,0.9987,3.31,0.44,10.2,6,white,40.90909090909091,9.71,0.26666666666666666,0.04806248122559327,33.762,0.04313725490196079,medium,average
3227,8.2,0.2,0.49,3.5,0.057,14.0,108.0,0.9928,3.19,0.35,11.5,6,white,40.99999999999999,8.889999999999999,0.12962962962962962,0.05741337630942788,36.685,0.03043478260869565,medium,average
3228,7.8,0.15,0.24,7.7,0.047,21.0,98.0,0.9951,2.94,0.31,9.6,6,white,52.0,8.19,0.21428571428571427,0.04723143402673098,28.224,0.03229166666666667,low,average
3229,6.9,0.25,0.24,1.8,0.053,6.0,121.0,0.993,3.23,0.7,11.4,5,white,27.6,7.390000000000001,0.049586776859504134,0.05337361530715005,36.822,0.06140350877192982,medium,average
3231,7.1,0.28,0.49,6.5,0.041,28.0,111.0,0.9926,3.41,0.58,12.2,8,white,25.357142857142854,7.87,0.25225225225225223,0.041305661898045534,41.602,0.047540983606557376,medium,good
3232,7.4,0.19,0.49,6.7,0.037,15.0,110.0,0.9938,3.2,0.38,11.0,7,white,38.94736842105263,8.08,0.13636363636363635,0.03723083115314953,35.2,0.034545454545454546,medium,good
3233,8.3,0.25,0.49,16.8,0.048,50.0,228.0,1.0001,3.03,0.52,9.2,6,white,33.2,9.040000000000001,0.21929824561403508,0.047995200479952004,27.875999999999998,0.05652173913043479,medium,average
3234,7.5,0.14,0.74,1.6,0.035,21.0,126.0,0.9933,3.26,0.45,10.2,6,white,53.57142857142857,8.379999999999999,0.16666666666666666,0.03523608174770966,33.251999999999995,0.04411764705882353,medium,average
3235,7.8,0.49,0.49,7.0,0.043,29.0,149.0,0.9952,3.21,0.33,10.0,5,white,15.918367346938776,8.78,0.19463087248322147,0.04320739549839228,32.1,0.033,medium,average
3236,8.1,0.12,0.49,1.2,0.042,43.0,160.0,0.9934,3.13,0.48,9.7,6,white,67.5,8.709999999999999,0.26875,0.04227904167505537,30.360999999999997,0.04948453608247423,medium,average
3237,7.6,0.47,0.49,13.0,0.239,42.0,220.0,0.9988,2.96,0.51,9.2,5,white,16.170212765957448,8.56,0.19090909090909092,0.23928714457348818,27.232,0.05543478260869566,low,average
3238,7.9,0.22,0.49,3.8,0.042,26.0,105.0,0.993,3.1,0.39,10.5,5,white,35.909090909090914,8.610000000000001,0.24761904761904763,0.04229607250755287,32.550000000000004,0.037142857142857144,medium,average
3240,6.4,0.22,0.49,7.5,0.054,42.0,151.0,0.9948,3.27,0.52,10.1,6,white,29.090909090909093,7.11,0.2781456953642384,0.054282267792521106,33.027,0.05148514851485149,medium,average
3241,7.3,0.19,0.49,15.55,0.058,50.0,134.0,0.9998,3.42,0.36,9.1,7,white,38.421052631578945,7.98,0.373134328358209,0.058011602320464095,31.122,0.03956043956043956,medium,good
3242,8.1,0.3,0.49,12.3,0.049,50.0,144.0,0.9971,3.09,0.57,10.2,7,white,27.0,8.89,0.3472222222222222,0.049142513288536756,31.517999999999997,0.055882352941176466,medium,good
3244,7.5,0.24,0.49,9.4,0.048,50.0,149.0,0.9962,3.17,0.59,10.5,7,white,31.25,8.23,0.33557046979865773,0.04818309576390283,33.285,0.056190476190476187,medium,good
3246,7.8,0.21,0.49,1.2,0.036,20.0,99.0,0.99,3.05,0.28,12.1,7,white,37.142857142857146,8.5,0.20202020202020202,0.03636363636363636,36.904999999999994,0.023140495867768597,medium,good
3247,7.1,0.3,0.49,1.6,0.045,31.0,100.0,0.9942,3.4,0.59,10.2,5,white,23.666666666666668,7.89,0.31,0.045262522631261314,34.68,0.05784313725490196,medium,average
3248,6.9,0.26,0.49,1.6,0.058,39.0,166.0,0.9965,3.65,0.52,9.4,4,white,26.53846153846154,7.65,0.23493975903614459,0.05820371299548419,34.31,0.05531914893617021,high,poor
3249,7.6,0.31,0.49,3.95,0.044,27.0,131.0,0.9912,3.08,0.67,12.8,7,white,24.516129032258064,8.399999999999999,0.20610687022900764,0.04439063761097659,39.42400000000001,0.05234375,medium,good
3250,6.4,0.42,0.74,12.8,0.076,48.0,209.0,0.9978,3.12,0.58,9.0,6,white,15.238095238095239,7.5600000000000005,0.22966507177033493,0.07616756865103226,28.080000000000002,0.06444444444444444,medium,average
3251,8.2,0.29,0.49,1.0,0.044,29.0,118.0,0.9928,3.24,0.36,10.9,4,white,28.275862068965516,8.979999999999999,0.2457627118644068,0.0443190975020145,35.316,0.03302752293577981,medium,poor
3252,7.9,0.33,0.28,31.6,0.053,35.0,176.0,1.0103,3.15,0.38,8.8,6,white,23.939393939393938,8.51,0.19886363636363635,0.052459665445907154,27.720000000000002,0.043181818181818175,medium,average
3253,6.6,0.46,0.49,7.4,0.052,19.0,184.0,0.9956,3.11,0.38,9.0,5,white,14.34782608695652,7.55,0.10326086956521739,0.05222981116914423,27.99,0.042222222222222223,medium,average
3254,7.8,0.28,0.49,1.3,0.046,27.0,142.0,0.9936,3.09,0.59,10.2,5,white,27.857142857142854,8.57,0.19014084507042253,0.046296296296296294,31.517999999999997,0.05784313725490196,medium,average
3255,5.8,0.15,0.49,1.1,0.048,21.0,98.0,0.9929,3.19,0.48,9.2,5,white,38.666666666666664,6.44,0.21428571428571427,0.048343236982576296,29.348,0.052173913043478265,medium,average
3256,7.8,0.4,0.49,7.8,0.06,34.0,162.0,0.9966,3.26,0.58,11.3,6,white,19.5,8.69,0.20987654320987653,0.06020469596628537,36.838,0.051327433628318576,medium,average
3257,6.6,0.31,0.49,7.7,0.05,52.0,220.0,0.9964,3.12,0.45,8.8,5,white,21.29032258064516,7.3999999999999995,0.23636363636363636,0.05018065034122843,27.456000000000003,0.05113636363636363,medium,average
3258,6.6,0.325,0.49,7.7,0.049,53.0,217.0,0.996,3.16,0.4,9.3,5,white,20.307692307692307,7.415,0.24423963133640553,0.04919678714859438,29.388000000000005,0.04301075268817204,medium,average
3259,6.6,0.27,0.49,7.8,0.049,62.0,217.0,0.9959,3.17,0.45,9.4,6,white,24.444444444444443,7.359999999999999,0.2857142857142857,0.04920172708103224,29.798000000000002,0.047872340425531915,medium,average
3260,6.7,0.26,0.49,8.3,0.047,54.0,191.0,0.9954,3.23,0.4,10.3,6,white,25.76923076923077,7.45,0.28272251308900526,0.04721719911593329,33.269000000000005,0.038834951456310676,medium,average
3261,6.7,0.21,0.49,1.4,0.047,30.0,114.0,0.9914,2.92,0.42,10.8,7,white,31.904761904761905,7.4,0.2631578947368421,0.047407706273956025,31.536,0.03888888888888888,low,good
3263,8.1,0.28,0.46,15.4,0.059,32.0,177.0,1.0004,3.27,0.58,9.0,4,white,28.928571428571423,8.84,0.1807909604519774,0.05897640943622551,29.43,0.06444444444444444,medium,poor
3264,6.5,0.13,0.37,1.0,0.036,48.0,114.0,0.9911,3.41,0.51,11.5,8,white,50.0,7.0,0.42105263157894735,0.03632327716678438,39.215,0.044347826086956525,medium,good
3265,7.8,0.445,0.56,1.0,0.04,8.0,84.0,0.9938,3.25,0.43,10.8,5,white,17.528089887640448,8.805,0.09523809523809523,0.04024954719259408,35.1,0.03981481481481481,medium,average
3266,8.8,0.39,0.34,5.9,0.055,33.0,128.0,0.9927,2.95,0.51,11.8,6,white,22.564102564102566,9.530000000000001,0.2578125,0.0554044525032739,34.81,0.043220338983050846,low,average
3267,7.9,0.18,0.33,1.2,0.033,20.0,72.0,0.9922,3.12,0.38,10.5,7,white,43.88888888888889,8.41,0.2777777777777778,0.03325942350332595,32.76,0.03619047619047619,medium,good
3268,7.1,0.31,0.38,1.2,0.036,10.0,124.0,0.9924,3.14,0.44,9.9,6,white,22.903225806451612,7.789999999999999,0.08064516129032258,0.03627569528415961,31.086000000000002,0.044444444444444446,medium,average
3269,7.8,0.24,0.18,6.7,0.046,33.0,160.0,0.9963,3.2,0.56,9.8,6,white,32.5,8.219999999999999,0.20625,0.04617083207869116,31.360000000000003,0.05714285714285714,medium,average
3270,7.0,0.35,0.3,6.5,0.028,27.0,87.0,0.9936,3.4,0.42,11.4,7,white,20.0,7.6499999999999995,0.3103448275862069,0.02818035426731079,38.76,0.03684210526315789,medium,good
3271,6.6,0.26,0.31,4.8,0.138,41.0,168.0,0.9951,3.2,0.38,9.3,5,white,25.384615384615383,7.169999999999999,0.24404761904761904,0.138679529695508,29.760000000000005,0.040860215053763436,medium,average
3272,6.6,0.27,0.31,5.3,0.137,35.0,163.0,0.9951,3.2,0.38,9.3,5,white,24.444444444444443,7.179999999999999,0.2147239263803681,0.13767460556727967,29.760000000000005,0.040860215053763436,medium,average
3273,6.8,0.22,0.29,8.9,0.046,82.0,188.0,0.9955,3.3,0.44,10.3,6,white,30.909090909090907,7.31,0.43617021276595747,0.04620793571069814,33.99,0.04271844660194175,medium,average
3274,6.2,0.27,0.32,8.8,0.047,65.0,224.0,0.9961,3.17,0.47,8.9,5,white,22.962962962962962,6.790000000000001,0.29017857142857145,0.04718401766890874,28.213,0.05280898876404494,medium,average
3276,7.3,0.23,0.37,1.8,0.032,60.0,156.0,0.992,3.11,0.35,11.1,6,white,31.739130434782606,7.9,0.38461538461538464,0.03225806451612903,34.521,0.03153153153153153,medium,average
3277,6.2,0.3,0.2,6.6,0.045,42.0,170.0,0.9944,3.36,0.45,10.4,6,white,20.666666666666668,6.7,0.24705882352941178,0.04525341914722446,34.944,0.04326923076923077,medium,average
3278,6.4,0.35,0.2,5.7,0.034,18.0,117.0,0.9944,3.33,0.43,10.1,5,white,18.28571428571429,6.95,0.15384615384615385,0.034191472244569594,33.633,0.04257425742574258,medium,average
3279,7.6,0.32,0.34,18.35,0.054,44.0,197.0,1.0008,3.22,0.55,9.0,5,white,23.75,8.26,0.2233502538071066,0.053956834532374105,28.98,0.061111111111111116,medium,average
3280,6.3,0.31,0.3,10.0,0.046,49.0,212.0,0.9962,3.74,0.55,11.9,6,white,20.32258064516129,6.909999999999999,0.23113207547169812,0.046175466773740216,44.50600000000001,0.046218487394957986,high,average
3281,7.2,0.25,0.28,14.4,0.055,55.0,205.0,0.9986,3.12,0.38,9.0,7,white,28.8,7.73,0.2682926829268293,0.05507710795113158,28.080000000000002,0.042222222222222223,medium,good
3283,7.3,0.26,0.33,17.85,0.049,41.5,195.0,1.0,3.06,0.44,9.1,7,white,28.076923076923077,7.89,0.2128205128205128,0.049,27.846,0.04835164835164835,medium,good
3285,7.4,0.26,0.37,9.4,0.047,42.0,147.0,0.9982,3.46,0.72,10.0,5,white,28.461538461538463,8.03,0.2857142857142857,0.04708475255459828,34.6,0.072,medium,average
3287,6.7,0.25,0.26,1.55,0.041,118.5,216.0,0.9949,3.55,0.63,9.4,3,white,26.8,7.21,0.5486111111111112,0.041210171876570514,33.37,0.06702127659574468,high,poor
3288,7.1,0.16,0.25,1.3,0.034,28.0,123.0,0.9915,3.27,0.55,11.4,6,white,44.375,7.51,0.22764227642276422,0.03429147755925366,37.278,0.048245614035087724,medium,average
3289,9.0,0.43,0.3,1.5,0.05,7.0,175.0,0.9951,3.11,0.45,9.7,4,white,20.930232558139537,9.73,0.04,0.050246206411415945,30.166999999999998,0.04639175257731959,medium,poor
3291,7.0,0.24,0.3,4.2,0.04,41.0,213.0,0.9927,3.28,0.49,11.8,6,white,29.166666666666668,7.54,0.19248826291079812,0.04029414727510829,38.704,0.04152542372881356,medium,average
3292,6.7,0.265,0.22,8.6,0.048,54.0,198.0,0.9955,3.25,0.41,10.2,5,white,25.28301886792453,7.185,0.2727272727272727,0.048216976393771975,33.15,0.04019607843137255,medium,average
3293,7.7,0.12,0.32,1.4,0.06,47.0,150.0,0.9952,3.37,0.42,9.2,6,white,64.16666666666667,8.14,0.31333333333333335,0.06028938906752412,31.003999999999998,0.04565217391304348,medium,average
3294,7.2,0.21,0.33,3.0,0.036,35.0,132.0,0.9928,3.25,0.4,11.0,6,white,34.285714285714285,7.74,0.26515151515151514,0.0362610797743755,35.75,0.03636363636363637,medium,average
3295,8.5,0.32,0.36,14.9,0.041,47.0,190.0,0.9982,3.08,0.31,10.0,6,white,26.5625,9.18,0.24736842105263157,0.04107393307954318,30.8,0.031,medium,average
3296,6.9,0.18,0.3,2.0,0.038,39.0,190.0,0.9914,3.32,0.37,12.2,6,white,38.333333333333336,7.38,0.20526315789473684,0.03832963485979423,40.504,0.030327868852459017,medium,average
3298,6.3,0.26,0.29,2.2,0.043,35.0,175.0,0.9918,3.38,0.43,11.6,6,white,24.23076923076923,6.85,0.2,0.04335551522484372,39.208,0.03706896551724138,medium,average
3299,6.7,0.26,0.3,1.8,0.043,25.0,121.0,0.9944,3.44,0.61,10.2,6,white,25.76923076923077,7.26,0.2066115702479339,0.04324215607401448,35.087999999999994,0.059803921568627454,medium,average
3300,7.9,0.29,0.36,11.1,0.033,43.0,208.0,0.9969,3.14,0.46,10.3,5,white,27.24137931034483,8.549999999999999,0.20673076923076922,0.033102618116160096,32.342000000000006,0.04466019417475728,medium,average
3301,6.5,0.27,0.19,4.2,0.046,6.0,114.0,0.9955,3.25,0.35,8.6,4,white,24.074074074074073,6.96,0.05263157894736842,0.04620793571069814,27.95,0.04069767441860465,medium,poor
3302,6.7,0.33,0.42,6.4,0.058,27.0,151.0,0.9954,3.16,0.44,9.6,5,white,20.3030303030303,7.45,0.17880794701986755,0.05826803295157726,30.336,0.04583333333333334,medium,average
3303,6.7,0.31,0.42,6.4,0.057,25.0,148.0,0.9955,3.16,0.45,9.6,5,white,21.612903225806452,7.43,0.16891891891891891,0.057257659467604215,30.336,0.046875,medium,average
3304,6.6,0.25,0.31,1.5,0.035,32.0,127.0,0.9921,3.41,0.47,11.3,6,white,26.4,7.159999999999999,0.25196850393700787,0.035278701743775835,38.533,0.04159292035398229,medium,average
3305,6.4,0.24,0.22,1.5,0.038,38.0,157.0,0.9934,3.41,0.55,9.9,6,white,26.666666666666668,6.86,0.24203821656050956,0.03825246627743105,33.759,0.05555555555555556,medium,average
3306,6.8,0.26,0.29,16.95,0.056,48.0,179.0,0.9998,3.45,0.4,9.6,5,white,26.153846153846153,7.35,0.2681564245810056,0.05601120224044809,33.12,0.04166666666666667,medium,average
3307,7.0,0.61,0.26,1.7,0.051,25.0,161.0,0.9946,3.36,0.6,10.6,4,white,11.475409836065573,7.87,0.15527950310559005,0.05127689523426503,35.616,0.05660377358490566,medium,poor
3308,6.8,0.22,0.3,13.6,0.055,50.0,180.0,0.9984,3.44,0.39,9.8,5,white,30.909090909090907,7.319999999999999,0.2777777777777778,0.05508814102564103,33.712,0.03979591836734694,medium,average
3309,8.1,0.31,0.24,1.6,0.032,10.0,67.0,0.9924,3.08,0.47,10.5,5,white,26.129032258064516,8.65,0.14925373134328357,0.032245062474808545,32.34,0.04476190476190476,medium,average
3310,7.0,0.2,0.3,6.1,0.037,31.0,120.0,0.9939,3.24,0.51,10.8,5,white,35.0,7.5,0.25833333333333336,0.03722708521984103,34.992000000000004,0.04722222222222222,medium,average
3311,7.9,0.18,0.37,3.0,0.061,25.0,178.0,0.995,3.22,0.51,10.0,6,white,43.88888888888889,8.45,0.1404494382022472,0.06130653266331658,32.2,0.051000000000000004,medium,average
3312,6.6,0.34,0.27,6.2,0.059,23.0,136.0,0.9957,3.3,0.49,10.1,6,white,19.41176470588235,7.209999999999999,0.16911764705882354,0.05925479562117103,33.33,0.048514851485148516,medium,average
3313,6.8,0.3,0.24,6.6,0.123,35.0,116.0,0.9953,3.07,0.48,9.4,5,white,22.666666666666668,7.34,0.3017241379310345,0.1235808299005325,28.858,0.05106382978723404,medium,average
3314,6.5,0.18,0.34,1.6,0.04,43.0,148.0,0.9912,3.32,0.59,11.5,8,white,36.111111111111114,7.02,0.2905405405405405,0.04035512510088782,38.18,0.051304347826086956,medium,good
3315,7.0,0.21,0.31,6.0,0.046,29.0,108.0,0.9939,3.26,0.5,10.8,6,white,33.333333333333336,7.52,0.26851851851851855,0.046282322165207765,35.208,0.046296296296296294,medium,average
3316,6.8,0.27,0.32,1.5,0.044,19.0,142.0,0.9921,3.1,0.43,9.9,6,white,25.185185185185183,7.390000000000001,0.13380281690140844,0.04435036790646104,30.69,0.04343434343434343,medium,average
3317,9.3,0.2,0.33,1.7,0.05,28.0,178.0,0.9954,3.16,0.43,9.0,4,white,46.5,9.83,0.15730337078651685,0.050231062889290745,28.44,0.04777777777777778,medium,poor
3318,5.8,0.23,0.27,1.8,0.043,24.0,69.0,0.9933,3.38,0.31,9.4,6,white,25.217391304347824,6.300000000000001,0.34782608695652173,0.04329004329004329,31.772,0.03297872340425532,medium,average
3319,7.6,0.2,0.39,2.6,0.044,30.0,180.0,0.9941,3.46,0.44,10.8,7,white,37.99999999999999,8.19,0.16666666666666666,0.04426114073030882,37.368,0.04074074074074074,medium,good
3320,8.2,0.15,0.48,2.7,0.052,24.0,190.0,0.995,3.5,0.45,10.9,7,white,54.666666666666664,8.83,0.12631578947368421,0.05226130653266332,38.15,0.04128440366972477,high,good
3321,7.5,0.4,1.0,19.5,0.041,33.0,148.0,0.9977,3.24,0.38,12.0,6,white,18.75,8.9,0.22297297297297297,0.04109451738999699,38.88,0.03166666666666667,medium,average
3323,7.0,0.13,0.3,5.0,0.056,31.0,122.0,0.9945,3.47,0.42,10.5,6,white,53.84615384615385,7.43,0.2540983606557377,0.0563097033685269,36.435,0.04,medium,average
3324,6.9,0.17,0.22,4.6,0.064,55.0,152.0,0.9952,3.29,0.37,9.3,6,white,40.588235294117645,7.29,0.3618421052631579,0.06430868167202573,30.597,0.039784946236559135,medium,average
3325,7.0,0.3,0.32,6.4,0.034,28.0,97.0,0.9924,3.23,0.44,11.8,6,white,23.333333333333336,7.62,0.28865979381443296,0.034260378879484084,38.114000000000004,0.037288135593220334,medium,average
3326,7.6,0.445,0.44,14.5,0.045,68.0,212.0,0.9986,3.48,0.36,10.0,6,white,17.078651685393258,8.485,0.32075471698113206,0.04506308832365311,34.8,0.036,medium,average
3328,7.5,0.22,0.33,6.7,0.036,45.0,138.0,0.9939,3.2,0.68,11.4,6,white,34.09090909090909,8.049999999999999,0.32608695652173914,0.03622094778146694,36.480000000000004,0.05964912280701755,medium,average
3329,9.2,0.23,0.3,1.1,0.031,40.0,99.0,0.9929,2.94,0.3,10.4,6,white,39.99999999999999,9.73,0.40404040404040403,0.031221673884580522,30.576,0.028846153846153844,low,average
3330,8.7,0.34,0.46,13.8,0.055,68.0,198.0,0.9988,3.36,0.37,9.5,6,white,25.58823529411764,9.5,0.3434343434343434,0.05506607929515418,31.919999999999998,0.03894736842105263,medium,average
3331,6.6,0.545,0.04,2.5,0.031,48.0,111.0,0.9906,3.14,0.32,11.9,5,white,12.110091743119265,7.185,0.43243243243243246,0.03129416515243287,37.366,0.026890756302521007,medium,average
3332,8.1,0.3,0.31,1.1,0.041,49.0,123.0,0.9914,2.99,0.45,11.1,6,white,27.0,8.71,0.3983739837398374,0.04135565866451483,33.189,0.04054054054054054,low,average
